,Uniprot,PDB
9242,Q14974,2P8Q
9243,Q14974,2Q5D
9244,Q14974,2QNA
9245,Q14974,3LWW
9246,Q14974,3W5K
9248,Q14974,6N89
9252,O43395,6AH0
9289,Q9Y4Y9,6AH0
9437,Q9Y388,6FF7
9479,Q9Y333,6AH0
9518,Q9Y4Z0,6AH0
9860,P10599,4PUF
9906,O75369,2WA6
9908,O75369,3FER
9909,O75369,4B7L
9979,Q14671,1IB2
9980,Q14671,1M8W
9981,Q14671,1M8X
9982,Q14671,1M8Y
9983,Q14671,1M8Z
9984,Q14671,2YJY
9985,Q14671,3BSB
9986,Q14671,3BSX
9987,Q14671,3Q0L
9988,Q14671,3Q0M
9989,Q14671,3Q0N
9990,Q14671,3Q0O
9991,Q14671,3Q0P
9992,Q14671,5YKH
9993,Q14671,5YKI
9998,P52298,1H2T
9999,P52298,1H2U
10000,P52298,1H2V
10002,P52298,1N52
10003,P52298,1N54
10004,P52298,3FEX
10005,P52298,3FEY
10006,P52298,5OO6
10012,Q96A72,6ICZ
10017,P52272,2OT8
10029,Q9UK45,6AH0
10160,O14980,1W9C
10161,O14980,2L1L
10162,O14980,3GB8
10163,O14980,4BSM
10164,O14980,4BSN
10165,O14980,5DIS
10186,P26651,4J8S
10187,Q15397,4WZR
10188,Q15397,4WZW
10357,P62318,5MQF
10364,P62318,6AH0
10366,P62318,6FF7
10367,P62318,6ICZ
10369,P62318,6ID1
10373,P62318,6V4X
10389,P62316,5MQF
10402,P62316,6AH0
10404,P62316,6FF7
10405,P62316,6ICZ
10407,P62316,6ID1
10426,P62314,5MQF
10439,P62314,6AH0
10441,P62314,6FF7
10442,P62314,6ICZ
10444,P62314,6ID1
10457,P62312,6AH0
10464,P62310,6AH0
10476,P62308,5MQF
10488,P62308,6AH0
10490,P62308,6FF7
10491,P62308,6ICZ
10493,P62308,6ID1
10497,P62308,6V4X
10512,P62306,5MQF
10525,P62306,6AH0
10526,P62306,6FF7
10527,P62306,6ICZ
10529,P62306,6ID1
10533,P62306,6V4X
10548,P62304,5MQF
10561,P62304,6AH0
10562,P62304,6FF7
10563,P62304,6ICZ
10565,P62304,6ID1
10569,P62304,6V4X
10614,P25786,5GJQ
10615,P25786,5GJR
10627,P25786,5LN3
10630,P25786,5T0G
10631,P25786,5T0H
10632,P25786,5T0I
10633,P25786,5T0J
10635,P25786,5VFP
10636,P25786,5VFQ
10637,P25786,5VFR
10638,P25786,5VFS
10639,P25786,5VFT
10640,P25786,5VFU
10644,P25786,6MSB
10645,P25786,6MSD
10646,P25786,6MSE
10647,P25786,6MSG
10648,P25786,6MSH
10649,P25786,6MSJ
10650,P25786,6MSK
10654,P25786,6WJD
10655,P25786,6WJN
10668,Q14498,4OO6
10705,Q12874,6AH0
10707,Q12874,6FF7
10873,P62191,5GJQ
10874,P62191,5GJR
10876,P62191,5LN3
10879,P62191,5T0G
10880,P62191,5T0H
10881,P62191,5T0I
10882,P62191,5T0J
10883,P62191,5VFP
10884,P62191,5VFQ
10885,P62191,5VFR
10886,P62191,5VFS
10887,P62191,5VFT
10888,P62191,5VFU
10889,P62191,5VGZ
10890,P62191,5VHF
10891,P62191,5VHH
10892,P62191,5VHI
10893,P62191,5VHJ
10894,P62191,5VHM
10896,P62191,5VHO
10897,P62191,5VHP
10899,P62191,5VHR
10900,P62191,5VHS
10901,P62191,6MSB
10902,P62191,6MSD
10903,P62191,6MSG
10904,P62191,6MSH
10905,P62191,6MSJ
10906,P62191,6MSK
10907,P62191,6WJD
10908,P62191,6WJN
10929,Q6P2Q9,5MQF
10936,Q6P2Q9,6AH0
10939,Q6P2Q9,6FF7
10940,Q6P2Q9,6ICZ
10942,Q6P2Q9,6ID1
11018,P60900,5GJQ
11019,P60900,5GJR
11031,P60900,5LN3
11034,P60900,5T0G
11035,P60900,5T0H
11036,P60900,5T0I
11037,P60900,5T0J
11039,P60900,5VFP
11040,P60900,5VFQ
11041,P60900,5VFR
11042,P60900,5VFS
11043,P60900,5VFT
11044,P60900,5VFU
11048,P60900,6MSB
11049,P60900,6MSD
11050,P60900,6MSG
11051,P60900,6MSH
11052,P60900,6MSK
11056,P60900,6WJD
11057,P60900,6WJN
11127,A5YKK6,4C0D
11128,A5YKK6,4CQO
11129,A5YKK6,4CRU
11130,A5YKK6,4CRV
11131,A5YKK6,4CRW
11132,A5YKK6,4CT4
11133,A5YKK6,4CT6
11134,A5YKK6,4CT7
11135,A5YKK6,4GMJ
11136,A5YKK6,4GML
11137,A5YKK6,4J8S
11139,A5YKK6,5FU6
11140,A5YKK6,5FU7
11141,A5YKK6,5ONA
11211,Q02790,1P5Q
11213,Q02790,1QZ2
11341,Q09161,1H2T
11342,Q09161,1H2U
11343,Q09161,1H2V
11345,Q09161,1N52
11346,Q09161,1N54
11347,Q09161,3FEX
11348,Q09161,3FEY
11349,Q09161,5OO6
11389,O14746,4B18
11418,Q07955,4C0O
11428,P60842,2ZU6
11440,Q14103,2Z5N
11453,P35637,4FDD
11454,P35637,4FQ3
11458,P35637,5YVG
11459,P35637,5YVH
11460,P35637,5YVI
11689,P55769,6AH0
11869,Q13573,5MQF
11874,Q13573,6FF7
11875,Q13573,6ICZ
11877,Q13573,6ID1
11997,P55210,4JB8
12204,P38919,5MQF
12207,P38919,6ICZ
12212,Q9HAU5,1UW4
12214,Q9HAU5,4CEK
12215,Q9HAU5,4CEM
12244,Q7RTV0,6AH0
12248,Q7RTV0,6FF7
12268,P47813,3ZJY
12379,Q86TB9,2XEQ
12380,Q86TB9,2XER
12381,Q86TB9,2XES
12592,P0CG48,5A5B
12654,P0CG48,6WJD
12700,P13010,3RZ9
12744,Q07666,3QHE
12821,Q9BWJ5,6AH0
12824,Q9BWJ5,6FF7
12893,Q9BZI7,1UW4
12908,P08238,1QZ2
12911,P08238,3FWV
12914,P08238,3UQ3
12925,P55072,3EBB
13016,P55036,5GJQ
13017,P55036,5GJR
13018,P55036,5L4K
13019,P55036,5LN3
13022,P55036,5T0G
13023,P55036,5T0H
13024,P55036,5T0I
13025,P55036,5T0J
13026,P55036,5VFP
13027,P55036,5VFQ
13028,P55036,5VFR
